id,text,description,source_description
mq_0127,Never rat on your friends and always keep your mouth shut,Movie quote from Goodfellas (1990),Goodfellas (1990)
mq_0128,I love you. I really love you. Ditto.,Movie quote from Ghost (1990),Ghost (1990)
mq_0129,"I’m funny how?  Funny, like, I’m a clown?  I amuse you?",Movie quote from Goodfellas (1990),Goodfellas (1990)
mq_0130,This valley is just one long smorgasbord.,Movie quote from Tremors (1990),Tremors (1990)
mq_0131,"As far back as I can remember, I always wanted to be a gangster.",Movie quote from Goodfellas (1990),Goodfellas (1990)
mq_0132,Better dead and cool then alive and uncool.,Movie quote from Harley Davidson and The Marlboro Man (1991),Harley Davidson and The Marlboro Man (1991)
mq_0133,"You're a... you're a complex Freudian hallucination having something to do with my mother and I don't know why you have wings, but you have very lovely legs and you're a very nice tiny person and what am I saying? I don't know who my mother was. I'm an orphan and I've never taken drugs because I missed the sixties; I was an accountant.",Movie quote from Hook (1991),Hook (1991)
mq_0134,"Oh, and Senator, just one more thing. Love your suit.",Movie quote from The Silence of the Lambs (1991),The Silence of the Lambs (1991)
mq_0135,"Hook, you let those kids out of that net in less than one minute or you better get an attorney and hope to God he's better than me.",Movie quote from Hook (1991),Hook (1991)
mq_0136,"Hasta la vista, baby.",Movie quote from Terminator 2: Judgment Day (1991),Terminator 2: Judgment Day (1991)
mq_0137,"And you'd better deliver, Miss Bell, or no amount of clapping will bring you back from where I will send you.",Movie quote from Hook (1991),Hook (1991)
mq_0138,"Of course it's hard. It's supposed to be hard. If it wasn't hard, everyone would do it. The hard is what makes it great",Movie quote from A League of their Own (1992),A League of their Own (1992)
mq_0139,There's no crying in baseball!,Movie quote from A League of Their Own (1992),A League of Their Own (1992)
mq_0140,You can't handle the truth!,Movie quote from A Few Good Men (1992),A Few Good Men (1992)
mq_0141,"Party on, Wayne! Party on, Garth!",Movie quote from Wayne's World (1992),Wayne's World (1992)
mq_0142,"You shoot me in a dream, you better wake up and apologise.",Movie quote from Reservoir Dogs (1992),Reservoir Dogs (1992)
mq_0143,"You're killing me, smalls!",Movie quote from The Sandlot (1993),The Sandlot (1993)
mq_0144,"Life, uh, finds a way.",Movie quote from Jurassic Park (1993),Jurassic Park (1993)
mq_0145,Clever girl.,Movie quote from Jurassic Park (1993),Jurassic Park (1993)
